36 	1.12 	0.07 	0.07 	0 	0 	0 	
35 	1.12 	0.07 	0.07 	0 	0 	0 	
34 	1.12 	0.07 	0.07 	0 	0 	0 	
33 	1.12 	0.07 	0.07 	0 	0 	0 	
32 	1.12 	0.07 	0.07 	0 	0 	0 	
31 	0.96 	0.06 	0.06 	0 	0 	0 	
30 	2.19 	0.14 	0.14 	0 	0 	0 	
29 	1.36 	0.08 	0.08 	0 	0 	0 	
28 	1.37 	0.09 	0.09 	0 	0 	0 	
27 	1.92 	0.06 	0.06 	0 	0 	0 	
26 	0.96 	0.06 	0.06 	0 	0 	0 	
25 	1.0 	0.06 	0.06 	0 	0 	0 	
24 	1.13 	0.07 	0.07 	0 	0 	0 	
23 	1.6 	0.07 	0.07 	0 	0 	36 	
22 	1.6 	0.07 	0.07 	0 	0 	35 	
21 	1.6 	0.07 	0.07 	0 	0 	34 	
20 	2.1 	0.15 	0.14 	22 	0 	23 	
19 	1.6 	0.07 	0.07 	0 	0 	33 	
18 	2.1 	0.16 	0.15 	20 	0 	21 	
17 	1.6 	0.07 	0.07 	0 	0 	32 	
16 	2.1 	0.17 	0.16 	18 	0 	19 	
15 	2.1 	0.18 	0.17 	16 	0 	17 	
14 	1.5 	0.08 	0.06 	0 	0 	31 	
13 	0.79 	0.14 	0.14 	0 	0 	30 	
12 	4.12 	0.08 	0.08 	0 	0 	29 	
11 	2.19 	0.09 	0.09 	0 	0 	28 	
10 	2.04 	0.17 	0.06 	0 	0 	27 	
9 	0.63 	0.17 	0.08 	13 	0 	14 	
8 	1.24 	0.1 	0.07 	11 	0 	12 	
7 	2.23 	0.1 	0.06 	0 	0 	26 	
6 	3.8 	0.13 	0.06 	0 	0 	25 	
5 	3.17 	0.17 	0.17 	9 	0 	10 	
4 	5.46 	0.09 	0.07 	0 	0 	24 	
3 	0.44 	0.13 	0.13 	5 	0 	6 	
2 	5.36 	0.1 	0.1 	7 	0 	8 	
1 	0.37 	0.09 	0.09 	3 	0 	4 	
0 	0.5 	0.17 	0.09 	1 	0 	2 	
